timestamp;id;linear_velocity_x;linear_velocity_y;linear_acceleration_x;linear_acceleration_y;yaw_rate;force_x;force_y;torque_n;fault_label
23.435;14;1.403248885846062;0.3389264657130152;0.38833218812942505;0.013008555397391321;-4.680471308941518;357.01249999999993;0.5780000000000001;185.8;0
23.935;14;1.413875294800661;0.2955656598816185;0.34672510623931885;0.010180003009736538;-2.1685319373946284;337.842;0.5780000000000001;200.0;0
24.435;14;1.46658762455275;0.21488556383262275;0.2908129692077637;0.01112541276961565;1.0763692204431317;340.31249999999994;0.032;200.0;0
24.935;14;1.5483407059766634;0.12922766696055393;0.2875529229640961;-0.006911116186529398;4.277039829801903;337.842;0.28800000000000003;200.0;0
25.435;14;1.6122801273428229;0.03816634314929028;0.30592280626296997;0.016378242522478104;6.332286352985848;357.01249999999993;1.2005;200.0;0
25.935;14;1.6587407761466992;-0.07028467581257941;0.30512651801109314;-0.0010258274851366878;7.6432001005688175;344.45;1.2005;200.0;0
26.435;14;1.6817717021434917;-0.17453037014526435;0.2880921959877014;0.0002049970207735896;9.259716413467256;344.45;0.33799999999999997;200.0;0
26.935;14;1.6764808665917428;-0.29777508712216344;0.2969350218772888;0.02536257728934288;11.191638093980167;344.45;0.33799999999999997;200.0;0
27.435;14;1.661422502746152;-0.39151623544253183;0.2725681662559509;0.007945753633975983;13.872440412216873;346.11199999999997;1.0579999999999998;200.0;0
27.935;14;1.6504033286918725;-0.4959269972762763;0.2545640170574188;0.017383366823196408;14.112705857027233;319.2005000000001;2.048;200.0;0
28.435;14;1.6131275457151233;-0.5857224056210106;0.2358144819736481;0.025551503524184227;15.241363684170713;315.21800000000013;1.3004999999999998;200.0;0
28.935;14;1.5779529934358345;-0.6405560425754253;0.24526095390319824;0.0489773228764534;16.27533071728143;319.2005000000001;0.8405000000000001;193.4;0
29.435;14;1.530209135455029;-0.7110248561813443;0.22807908058166504;0.07202140986919403;16.489582361873353;348.6125;0.8405000000000001;25.0;0
29.935;14;1.4759673647208846;-0.7483001462883426;0.22521822154521945;0.0724685788154602;16.627186306622768;387.2;-0.4805;30.6;0
30.435;14;1.4754716135056367;-0.7369216184995071;0.2508044242858887;0.08544349670410156;15.048601239451356;154.56800000000004;-0.018000000000000002;34.2;0
30.935;14;1.4533277739869561;-0.7221321057259696;0.2537696063518524;0.0653570294380188;13.581993739319465;0.7605;1.6245;31.0;0
31.435;14;1.3993046161648723;-0.6909647724958026;0.2872167229652405;0.03313416242599486;11.049684074025624;0.28800000000000003;2.592;30.6;0
31.935;14;1.2255955987673282;-0.6213217495391371;0.29645413160324097;0.034919049590826035;9.711588006581367;0.28800000000000003;1.6245;25.0;0
32.435;14;1.0730811510423013;-0.6139175763694756;0.3325006663799286;0.05480271577835083;8.540592644453957;0.7605;1.6245;27.6;0
32.935;14;0.967830822337332;-0.5958109309382132;0.3530389070510864;0.034521941095590584;7.61457165768039;0.7605;2.592;26.0;0
33.435;14;0.8757786127643545;-0.6096490895163713;0.33334389328956604;0.0491156317293644;7.691035219218968;0.33799999999999997;2.7379999999999995;31.0;0
33.935;14;0.7777388551800725;-0.5953150601817799;0.30351513624191284;0.030994538217782974;6.949247535919881;0.28800000000000003;1.6245;34.2;0
34.435;14;0.7028172738181949;-0.5773631483939742;0.2946503162384033;0.057742908596992486;5.936905522438541;0.8405000000000001;1.6245;28.6;0
